Depth	TVD	ROP	WOB	RPM   Torque    SPP	GPM   Temp IN Temp Out				
996	995.99	18.37	8	110	6	1301	691	93	95
997	996.99	25.77	7	111	6	1326	691	93	95
998	997.99	33.49	7	111	4	1343	691	93	95
999	998.99	35.26	6	111	4	1331	691	93	95
1000	999.99	32.59	5	111	3	1125	691	93	95
1001	1000.99	18.68	5	109	3	1250	691	93	95
1002	1001.99	20.3	5	108	3	1358	691	93	95
1003	1002.99	20.94	6	108	4	1334	691	93	95
1004	1003.99	24.86	6.93	108	5	1352	691	93	95
1005	1004.99	22.08	5.66	107	5	1353	691	93	95
1006	1005.99	24.2	6.23	107	4	1362	691	93	95
1007	1006.99	20.34	6	107	4	1361	691	93	95
1008	1007.99	23.54	6	107	3	1349	691	93	95
1009	1008.99	19.87	6.5	64	2	1326	414	93	95
1010	1009.99	25.78	6	113	4	1270	618	93	95
1011	1010.99	22.95	6	111	4	1272	618	93	95
1012	1011.99	25.67	6.5	110	5	1260	618	93	95
1013	1012.99	23.75	6.5	111	4	1271	618	93	95
1014	1013.99	26.93	6.5	111	4	1272	618	93	95
1015	1014.99	26.62	5.06	111	4	1273	618	93	95
1016	1015.99	26.34	6.95	111	5	1217	620	93	95
1017	1016.99	26.62	8.86	110	5	1262	621	93	95
1018	1017.99	24.65	5.99	110	5	1265	621	93	95
1019	1018.99	28.21	6	111	5	1272	621	93	95
1020	1019.99	28.73	7.76	110	5	1276	621	93	95
1021	1020.99	27.55	5.99	110	5	1268	621	93	95
1022	1021.99	27.99	7	110	6	1261	621	93	95
1023	1022.99	48.16	7.38	110	5	1272	621	93	95
1024	1023.99	26.16	7	110	5	1266	621	93	95
1025	1024.99	28.44	8.22	110	5	1264	621	93	95
1026	1025.99	31.31	8	110	6	1273	621	93	95
1027	1026.99	19.84	7.1	110	6	1278	621	93	95
1028	1027.99	22.81	8	110	6	1284	621	93	95
1029	1028.99	23.38	7.47	110	5	1268	621	93	95
1030	1029.99	24.63	6	110	5	1282	621	93	95
1031	1030.99	31.42	6	111	4	1297	621	93	95
1032	1031.99	23.12	7	110	5	1280	621	93	95
1033	1032.99	23.83	5.8	110	5	1299	621	93	95
1034	1033.99	24.71	6	109	5	1292	621	93	95
1035	1034.99	26.05	5	110	4	1288	621	93	95
1036	1035.99	32.94	2.36	110	5	1280	621	93	95
1037	1036.99	60.97	2.36	110	6	1115	639	93	95
1038	1037.99	28.42	4.36	110	5	1312	642	93	95
1039	1038.99	29.65	4.74	110	4	1326	642	93	95
1040	1039.99	30.34	3.93	110	4	1340	642	93	95
1041	1040.99	28.19	3.69	110	5	1320	642	93	95
1042	1041.99	27.23	7.04	110	5	1318	637	93	95
1043	1042.99	34.37	6.65	110	5	1304	635	93	95
1044	1043.99	25.29	6.39	110	5	1307	635	93	95
1045	1044.99	19.84	5.46	109	4	1313	634	93	95
1046	1045.99	19.36	5.12	109	5	1317	636	93	95
1047	1046.99	24.42	6.34	109	5	1315	636	93	95
1048	1047.99	25.28	8.37	109	6	1300	635	93	95
1049	1048.99	28.38	9.99	109	6	1296	635	93	95
1050	1049.99	26.34	10.78	109	6	1321	635	93	95
1051	1050.99	26.11	12.92	109	6	1323	635	93	95
1052	1051.99	26.05	13.16	108	7	1319	635	93	95
1053	1052.99	25.4	11.92	109	7	1310	635	93	95
1054	1053.99	22.81	12.14	109	6	1323	635	93	95
1055	1054.99	24.41	12.3	109	7	1313	635	93	95
1056	1055.99	24.57	15.61	109	7	1312	635	93	95
1057	1056.99	31.1	15.94	110	7	1319	633	93	95
1058	1057.99	24.89	19.09	109	8	1316	634	93	95
1059	1058.99	24.87	20.64	109	8	1286	635	93	95
1060	1059.99	25.45	25.18	109	9	1306	634	93	95
1061	1060.99	20.53	22.04	109	9	1304	635	93	95
1062	1061.99	18.33	16.79	108	7	1270	631	93	95
1063	1062.99	29.97	16.77	108	6	1191	627	93	95
1064	1063.99	27.38	14.49	110	5	1182	627	93	95
1065	1064.99	35.59	15.36	110	7	1300	645	93	95
1066	1065.99	45.13	21.3	65	5	693	389	93	95
1067	1066.99	31	10	109	8	970	650	92	94
1068	1067.99	32.5	10	110	5	1274	682	91	94
1069	1068.99	32.26	10	108	4	1400	697	92	94
1070	1069.99	32.4	10	107	4	1400	697	92	94
1071	1070.99	31	10	110	4	1400	697	92	94
1072	1071.99	34.82	10	109	4	1418	694	92	94
1073	1072.99	33	9.99	109	5	1415	695	92	94
1074	1073.99	30	10.94	110	6	1300	662	92	94
1075	1074.99	31	11.09	111	7	1078	629	92	94
1076	1075.99	33	10.57	110	6	1070	596	92	94
1077	1076.99	34.15	11	109	5	1062	563	92	94
1078	1077.99	33	11	108	5	1054	530	92	94
1079	1078.99	32	12	109	5	1046	599	92	94
1080	1079.99	31.19	13	110	6	1038	188	92	94
1081	1080.99	29.6	14.51	109	7	1153	627	92	94
1082	1081.99	27	14.2	108	7	960	580	92	94
1083	1082.99	25	15	109	7	940	575	92	94
1084	1083.99	24	15.04	109	8	928	575	92	94
1085	1084.99	23	15.41	109	8	922	575	92	94
1086	1085.99	21	17.1	109	8	929	575	92	94
1087	1086.99	20	16.99	109	8	899	555	92	94
1088	1087.99	19.22	19.02	109	9	875	551	92	94
1089	1088.99	18.53	18	109	9	869	551	92	94
1090	1089.99	18.21	19.76	109	8	876	551	92	94
1091	1090.99	17	18	109	8	948	563	92	94
1092	1091.99	16	18.86	109	7	1011	578	92	94
1093	1092.99	17	17	110	8	1003	578	92	94
1094	1093.99	16.47	16	109	7	1039	578	92	94
1095	1094.99	15.57	15.89	110	6	1030	578	92	94
1096	1095.99	29.73	5.2	102	3	799	425	92	94
1097	1096.99	20.52	11.66	110	6	1176	626	92	94
1098	1097.99	26.3	15.25	109	6	991	578	92	94
1099	1098.99	22.07	16.88	109	7	920	554	92	94
1100	1099.99	24.66	18.38	109	8	909	554	92	94
1101	1100.99	22.59	19.93	110	8	918	554	92	94
1102	1101.99	22.1	17.97	110	8	912	548	92	94
1103	1102.99	22.56	21.49	110	8	1015	573	92	94
1104	1103.99	29.93	15.69	109	8	885	538	92	94
1105	1104.99	27.62	14.47	109	6	868	522	92	94
1106	1105.99	23	18.09	109	7	859	522	92	94
1107	1106.99	22.24	19.84	109	8	865	522	92	95
1108	1107.99	23.78	20.52	110	8	865	522	92	95
1109	1108.99	23.03	23.07	110	8	871	522	92	95
1110	1109.99	24.1	23.34	110	9	870	522	92	95
1111	1110.99	25.39	22.79	110	9	880	522	92	95
1112	1111.99	24.69	22.76	110	9	882	524	92	95
1113	1112.99	19.93	20.45	110	7	993	549	92	95
1114	1113.99	19.34	22.3	110	7	994	549	92	95
1115	1114.99	21.1	21.59	110	7	943	537	92	95
1116	1115.99	22.28	24.24	110	8	896	522	92	95
1117	1116.99	22.97	23.67	109	8	881	522	92	95
1118	1117.99	21.4	22.83	109	9	881	522	92	95
1119	1118.99	15.47	21.76	110	8	905	523	92	95
1120	1119.99	23.41	23.39	109	8	907	522	92	95
1121	1120.99	23.31	25.53	109	9	886	523	92	95
1122	1121.99	22.52	26.07	109	10	876	523	92	95
1123	1122.99	10.72	23.66	109	8	900	523	92	95
1124	1123.99	16.55	18.85	109	7	896	523	92	95
1125	1124.99	15.35	20.88	109	7	915	523	92	95
1126	1125.99	21.63	16.9	109	6	929	522	92	95
1127	1126.99	18.65	18.41	109	6	1034	557	92	95
1128	1127.99	18.71	19.37	109	7	992	545	92	95
1129	1128.99	23.05	22.15	109	8	914	528	92	95
1130	1129.99	22.16	21.77	109	8	911	528	92	95
1131	1130.99	22.32	20.85	109	8	922	528	92	95
1132	1131.99	24.76	23.69	109	8	915	528	92	95
1133	1132.99	23.21	21.16	110	7	947	528	92	95
1134	1133.99	18.22	18.56	110	7	1010	531	92	95
1135	1134.99	18.42	19.94	110	8	1078	557	92	95
1136	1135.99	20.49	20.54	110	8	1072	557	92	95
1137	1136.99	22.5	24.83	110	8	1097	557	92	95
1138	1137.99	12.01	20.15	110	8	1104	557	92	95
1139	1138.99	19.11	19.29	111	9	1129	575	92	95
1140	1139.99	18.53	18.16	111	8	1092	578	92	95
1141	1140.99	17.96	14.02	110	7	1087	578	92	95
1142	1141.99	23.89	14.09	110	7	1092	578	92	95
1143	1142.99	24.54	13.35	110	6	1095	578	92	95
1144	1143.99	27.34	13.39	110	7	1094	578	92	95
1145	1144.99	24.09	12.41	110	7	1078	578	92	95
1146	1145.99	23.93	14.58	110	7	1098	578	92	95
1147	1146.99	24.01	16.82	110	7	1101	578	92	95
1148	1147.99	24.44	17.95	110	7	1100	578	92	95
1149	1148.99	25.63	13.65	110	7	974	546	92	95
1150	1149.99	23.4	11.13	110	6	923	524	92	95
1151	1150.99	24.97	11.51	109	6	855	505	92	95
1152	1151.99	17.85	7.26	109	6	945	504	92	95
1153	1152.99	23.74	9.82	110	6	974	508	92	95
1154	1153.99	27.61	9.12	109	6	974	511	92	95
1155	1154.99	22.5	14.9	108	7	976	511	92	95
1156	1155.99	19.39	15.51	109	7	1024	522	92	95
1157	1156.99	23.85	17.44	109	8	1050	534	92	95
1158	1157.99	19.79	18.51	110	8	1045	534	92	95
1159	1158.99	18.69	17.8	109	8	1056	534	92	95
1160	1159.99	17.7	17.79	109	8	1046	534	92	95
1161	1160.99	19.91	18.4	109	8	1048	534	92	95
1162	1161.99	16.9	20.14	109	8	1040	534	92	95
1163	1162.99	11.37	14.13	109	7	1016	534	92	95
1164	1163.99	12.69	15.73	110	7	1033	534	92	95
1165	1164.99	19.74	18.32	110	7	1033	534	92	95
1166	1165.99	17.22	17.54	109	7	1203	534	92	95
1167	1166.99	20.19	18.04	110	7	1003	534	92	95
1168	1167.99	24.96	7.79	110	6	1021	534	93	95
1169	1168.99	34.28	5.45	110	5	1041	534	93	95
1170	1169.99	29.38	3.96	108	5	1063	537	93	95
1171	1170.99	23.62	2.48	108	4	1050	537	93	95
1172	1171.99	31.08	2.7	108	4	1059	537	93	95
1173	1172.99	30.73	4.28	108	4	1052	537	93	95
1174	1173.99	26.59	4.33	108	4	1062	537	93	95
1175	1174.99	22.81	7.38	108	5	1051	537	93	95
1176	1175.99	21.11	3.49	108	4	1069	537	93	95
1177	1176.99	15.86	4.92	108	4	1080	537	93	95
1178	1177.99	19.64	7.32	108	5	1084	537	93	95
1179	1178.99	10.95	3.99	65	3	1026	322	93	95
1180	1179.99	2.51	0.18	21	5	1023	107	93	95
1181	1180.99	49.84	18.61	80	2	1036	384	93	95
1182	1181.99	28.43	5.76	113	5	1107	554	93	95
1183	1182.99	29.82	3.14	111	5	1100	554	93	95
1184	1183.99	23.76	2.42	110	5	1121	554	93	95
1185	1184.99	23.88	8.31	110	6	1120	554	93	95
1186	1185.99	23.03	0.79	110	5	1132	554	93	95
1187	1186.99	24.62	0.62	110	5	1128	554	93	95
1188	1187.99	26.62	3.16	110	4	1153	554	93	95
1189	1188.99	25.97	4.96	110	5	1159	554	93	95
1190	1189.99	26.39	4.64	110	5	1146	554	93	95
1191	1190.99	26.61	2.99	110	5	1159	554	93	95
1192	1191.99	22.5	9.4	110	5	1179	554	93	95
1193	1192.99	22.81	7.76	110	6	1175	554	93	95
1194	1193.99	23.24	6.48	110	6	1175	554	93	95
1195	1194.99	22.75	8.91	111	5	1172	554	93	95
1196	1195.99	22.3	6.6	110	5	1172	554	93	95
1197	1196.99	22.92	6.04	110	6	1150	554	93	95
1198	1197.99	19.39	5.39	110	6	1143	554	93	95
1199	1198.99	20.36	6.08	111	6	1132	545	93	95
1200	1199.99	23.77	9.36	111	4	1169	557	93	95
1201	1200.99	24.93	8.36	111	4	1172	557	93	95
1202	1201.99	23.9	8.36	111	5	1178	557	93	95
1203	1202.99	23.27	8.36	110	5	1225	569	93	95
1204	1203.99	22.1	3.63	100	4	1027	464	93	95
1205	1204.99	21.1	6.39	102	5	1023	426	93	95
1206	1205.99	26.3	2.36	102	4	1025	423	93	95
1207	1206.99	26.9	5.69	100	4	1026	425	93	95
1208	1207.99	15.2	6.39	123	2	1023	415	93	95
1209	1208.99	45.3	6.32	102	2	1045	425	93	95
1210	1209.99	26	6.32	103	3	1036	412	93	95
1211	1210.99	23.6	4.26	105	2	1098	536	93	95
1212	1211.99	23.86	3.69	109	6	1035	581	93	95
1213	1212.99	25.67	3.69	109	5	1169	579	93	95
1214	1213.99	24.38	6.32	108	5	1148	578	93	95
1215	1214.99	26.37	3.76	108	5	1141	578	93	95
1216	1215.99	23.49	2.36	108	5	1155	578	93	95
1217	1216.99	32.77	5.88	108	6	1147	578	93	95
1218	1217.99	31.32	8.15	108	5	1187	579	93	95
1219	1218.99	25.37	5.86	108	5	1244	581	93	95
1220	1219.99	23.62	3.33	109	5	1240	581	93	95
1221	1220.99	21.79	2.97	110	5	1244	581	93	95
1222	1221.99	22.03	2.6	110	5	1249	581	93	95
1223	1222.99	22.26	2.6	110	5	1247	581	93	95
1224	1223.99	19.33	2.19	110	5	1250	581	93	95
1225	1224.99	19.09	3.26	109	5	1258	581	93	95
1226	1225.99	18.92	3.27	110	5	1249	581	93	95
1227	1226.99	20.26	7.13	110	6	1250	581	93	95
1228	1227.99	22.28	10.23	110	7	1251	581	93	95
1229	1228.99	21.85	11.64	110	7	1249	581	93	95
1230	1229.99	14.13	4.78	110	6	1245	581	93	95
1231	1230.99	21.67	7.36	110	5	1254	581	93	95
1232	1231.99	21.3	2.08	110	4	1260	581	93	95
1233	1232.99	21.98	2.05	110	4	1270	581	93	95
1234	1233.99	22.69	3.73	110	4	1269	581	93	95
1235	1234.99	22.63	2.36	110	4	1271	581	93	95
1236	1235.99	32.47	3.91	110	5	1273	581	93	95
1237	1236.99	12.58	5.36	120	2	640	290	93	95
1238	1237.99	17.09	2.36	110	2	1018	464	93	95
1239	1238.99	26.49	6.36	110	4	1148	531	93	95
1240	1239.99	22.1	5.69	110	4	1317	604	93	95
1241	1240.99	22.3	7.36	110	5	1319	603	93	95
1242	1241.99	18.64	9.36	110	4	1315	603	93	95
1243	1242.99	18.62	10.25	109	4	1317	602	93	95
1244	1243.99	19.49	8.3	110	5	1311	602	93	95
1245	1244.99	20.11	8.26	110	4	1319	603	93	95
1246	1245.99	21.64	6.39	99	5	1170	542	93	95
1247	1246.99	7.91	8.36	33	5	394	459	93	95
1248    1247.99 7.91    8.36    33      5       394     459     93      95									
1249	1248.9	22	10.5	109	6	258	134	93	95
1250	1249.9	19	11.2	108	4	1294	671	93	95
1251	1250.9	21.05	11.45	108	4	1302	671	93	95
1252	1251.9	20.78	10.65	109	4	1302	671	93	95
1253	1252.9	22.78	9.75	109	4	1309	671	93	95
1254	1253.9	22.22	11.63	109	4	1310	671	93	95
1255	1254.9	21	12	108	4	1318	671	93	95
1256	1255.9	20	11.54	108	5	528	268	93	95
1257	1256.9	19	12	108	4	1061	536	93	95
1258	1257.9	21	13.12	109	4	1334	671	93	95
1259	1258.9	20	12.54	109	4	1340	671	93	95
1260	1259.9	19	11.49	108	4	1340	671	93	95
1261	1260.9	20	13.74	108	4	1340	671	93	95
1262	1261.9	19.09	14.15	108	4	1340	671	93	95
1263	1262.9	20.34	13.51	107	5	1305	658	93	95
1264	1263.9	20.67	14.48	107	5	1075	593	93	95
1265	1264.9	19	13.47	108	4	1127	595	93	95
1266	1265.9	19.17	12.65	108	3	1229	592	93	95
1267	1266.9	20.1	11.47	108	0	304	144	93	95
1268	1267.9	22	10.77	108	3	1190	540	93	95
1269	1268.9	23.9	10.5	108	4	1501	659	93	95
1270	1269.9	25.8	9.98	107	4	1503	659	93	95
1271	1270.9	27.7	10.25	107	4	1507	659	93	95
1272	1271.9	29.6	10.2	107	4	1502	659	93	95
1273	1272.9	31.5	12.63	107	4	1514	659	93	95
1274	1273.9	33.4	12.45	106	5	1501	659	93	95
1275	1274.9	32	11	107	4	1516	659	93	95
1276	1275.9	33	10.5	108	4	1532	659	93	95
1277	1276.9	31	9.97	108	5	1536	659	93	95
1278	1277.9	30	9.98	108	5	1544	659	93	95
1279	1278.9	32	13.37	108	6	1540	659	93	95
1280	1279.9	30	14.5	108	7	1553	659	93	95
1281	1280.9	31	16.02	108	7	1559	659	93	95
1282	1281.9	29.5	15	108	7	1572	659	93	95
1283	1282.9	28	13	108	7	1579	659	93	95
1284	1283.9	23.32	17	108	7	1575	659	93	95
1285	1284.9	22	15.64	108	7	1579	659	93	95
1286	1285.9	22.7	14.66	107	9	1567	659	93	95
1287	1286.9	23.34	15.54	106	9	1572	659	93	95
1288	1287.9	24.85	16.45	107	8	1583	659	93	95
1289	1288.9	25	16.35	107	8	1579	659	93	95
1290	1289.9	23.17	14.75	108	6	1586	659	93	95
1291	1290.9	23.32	15.02	108	6	1593	659	93	95
1292	1291.9	22	14.89	109	5	1605	659	93	95
1293	1292.9	21	14.7	109	5	1620	659	93	95
1294	1293.9	20	13.5	109	5	1620	659	93	95
1295	1294.9	21	13.5	110	4	1602	657	93	95
1296	1295.9	22	12.68	110	4	1588	656	93	95
1297	1296.9	23	10.25	109	6	1593	656	93	95
1298	1297.9	24	10.26	108	6	1585	656	93	95
1299	1298.9	22	11.56	108	7	1599	656	93	95
1300	1299.9	20	12.9	108	7	1607	656	93	95
1301	1300.9	22.5	12	108	8	1602	656	93	95
1302	1301.9	21.96	13.5	108	8	1602	656	93	95
1303	1302.9	21.31	12.3	108	7	1600	656	93	95
1304	1303.9	22.53	12.5	108	7	1609	656	93	95
1305	1304.9	23.82	12.35	108	7	1608	656	93	95
1306	1305.9	21	14.55	108	5	1613	656	93	95
1307	1306.9	21.54	13.74	108	5	1613	656	93	95
1308	1307.9	20.06	12.64	108	5	1618	656	93	95
1309	1308.9	18	12.67	108	4	1620	656	93	95
1310	1309.9	17.05	12.45	108	4	1295	581	93	95
1311	1310.9	15.61	13.01	108	4	1295	580	93	95
1312	1311.9	16.05	12.05	108	4	1291	580	93	95
1313	1312.9	17.25	14.01	108	5	1290	580	93	95
1314	1313.9	16.78	13	108	4	1285	580	93	95
1315	1314.9	18.5	12.45	109	5	1257	580	93	95
1316	1315.9	20.32	14.04	109	5	1260	580	93	95
1317	1316.9	22	13	109	5	1269	580	93	95
1318	1317.9	21	12	109	4	1510	633	93	95
1319	1318.9	22.09	11.14	109	4	1311	601	93	95
1320	1319.9	20	12.04	109	4	1358	601	93	95
1321	1320.9	23	10.78	109	4	1358	601	93	95
1322	1321.9	22	11.07	109	4	1350	601	93	95
1323	1322.9	21	12.04	87	3	1353	599	93	95
1324	1323.9	20	13.55	112	4	1311	589	93	95
1325	1324.9	21.59	12.33	109	4	1306	589	93	95
1326	1325.9	21.75	12.02	109	4	1305	589	93	95
1327	1326.9	20	14	109	4	1307	589	93	95
1328	1327.9	18.5	13.65	109	5	1318	589	93	95
1329	1328.9	19.54	12.12	108	5	1319	589	93	95
1330	1329.9	17.6	11.66	108	5	1325	589	93	95
1331	1330.9	19.6	12.69	108	5	1324	589	93	95
1332	1331.9	21.99	13.01	108	5	1326	589	93	95
1333	1332.9	23.67	11.46	108	5	1325	589	93	95
1334	1333.9	19.26	10.23	108	4	1334	589	93	95
1335	1334.9	22.37	13.15	108	4	1322	589	93	95
1336	1335.9	21.4	12.47	108	4	1323	589	93	95
1337	1336.9	20.85	11.5	108	4	1330	589	93	95
1338	1337.9	19.38	12.65	108	5	1322	589	93	95
1339	1338.9	20.14	11.05	108	5	1333	589	93	95
1340	1339.9	20.3	12.05	108	5	1326	589	93	95
1341	1340.9	23.1	10.3	107	6	1323	589	93	95
1342	1341.9	24.37	11.2	107	7	1221	589	93	95
1343	1342.9	23.56	10.2	108	6	1184	589	93	95
1344	1343.9	25	12.3	108	6	1236	589	93	95
1345	1344.9	24	11.5	108	6	1271	589	93	95
1346	1345.9	22	12.5	108	5	1261	591	93	95
1347	1346.9	21	13.4	108	5	1262	592	93	95
1348	1347.9	20	12.23	108	5	1283	594	93	95
1349	1348.9	18.6	12.2	108	5	1294	595	93	95
1350	1349.9	18.9	12.33	108	5	1309	595	93	95
1351	1350.9	18.99	11.2	108	5	1309	179	93	95
1352	1351.9	20.1	10.11	109	6	1315	601	93	95
1353	1352.9	22.04	11.02	109	6	1316	601	93	95
1354	1353.9	22	12.01	109	6	1326	601	93	95
1355	1354.9	21.23	12.3	108	7	1330	601	93	95
1356	1355.9	20.07	12.03	108	5	1315	601	93	95
1357	1356.9	22.9	11	108	5	1316	601	93	95
1358	1357.9	22.56	12.33	108	5	1320	601	93	95
1359	1358.9	21.32	13.01	108	5	1319	601	93	95
1360	1359.9	22.07	12	108	4	1319	601	93	95
1361	1360.9	20.97	11.6	108	5	1319	601	93	95
1362	1361.9	21.5	10.22	108	4	1321	601	93	95
1363	1362.9	22.13	12	108	6	1318	601	93	95
1364	1363.9	22.13	10.95	108	5	1334	601	93	95
1365	1364.9	23.63	12.44	108	5	1327	601	93	95
1366	1365.9	22.82	11.25	108	6	1323	601	93	95
1367	1366.9	23.97	10.78	108	5	1330	601	93	95
1368	1367.9	22.12	11.55	108	4	1321	601	93	95
1369	1368.9	23.1	11.01	108	5	1321	601	93	95
1370	1369.9	21.96	11	108	4	1321	601	93	95
1371	1370.9	21.96	11	108	4	1321	601	93	95
1372	1371.9	21.96	11	108	4	1321	601	93	95
1373	1372.9	21.96	11	108	4	1321	601	93	95
1374	1374.99	45.05	1.27	108	3	1301	592	93	94
1375	1375.99	19.37	3.8	108	4	1295	592	93	94
1376	1376.99	14.84	5.91	108	4	1303	592	93	94
1377	1377.99	6.56	7.81	86	3	1040	473	93	94
1378	1378.99	16.32	9.14	108	4	1300	592	93	94
1379	1379.99	16.62	10.8	108	4	1305	592	93	94
1380	1380.99	22.33	14.34	108	5	1312	592	93	94
1381	1381.99	19.76	15.28	108	6	1225	589	93	94
1382	1382.99	20.02	17.59	108	6	1191	589	93	94
1383	1383.99	25.93	19.23	108	6	1052	558	93	94
1384	1384.99	14.71	14.25	108	6	1199	580	93	94
1385	1385.99	18.54	10.21	109	4	1296	598	93	94
1386	1386.99	18.01	11.29	110	4	1294	598	93	94
1387	1387.99	22.97	9.3	110	4	1292	598	93	94
1388	1388.99	20.12	11	109	5	1293	598	93	94
1389	1389.99	26.27	9.3	109	5	1312	598	93	94
1390	1390.99	29.26	11.94	109	5	1303	598	93	94
1391	1391.99	39.14	12.69	109	6	1317	598	93	94
1392	1392.99	32.25	14.35	109	6	1317	598	93	94
1393	1393.99	29.12	10.47	109	7	1325	598	93	94
1394	1394.99	27.18	13.17	109	9	1319	598	93	94
1395	1395.99	29.11	15.23	109	7	1330	598	93	94
1396	1396.99	28.1	13.23	109	7	1335	598	93	94
1397	1397.99	23.63	11.49	109	6	1341	600	93	94
1398	1398.99	20.63	10.52	109	6	1353	601	93	94
1399	1399.99	22.63	12.87	109	6	1346	601	93	94
1400	1400.99	24.73	9.7	109	6	1359	601	93	94
1401	1401.99	23.64	10.84	109	6	1359	601	93	94
1402	1402.99	23.78	12.3	109	6	1351	601	93	94
1403	1403.99	24.07	13.4	109	7	1310	601	93	94
1404	1404.99	23.51	14.81	110	7	1234	601	93	94
1405	1405.99	24.99	12.36	110	6	1217	601	93	94
1406	1406.99	23.1	9.67	110	6	1223	601	93	94
1407	1407.99	16.04	8.85	109	6	1242	601	93	94
1408	1408.99	59.96	6.22	33	1	623	300	93	94
1409	1409.99	289.22	25.17	33	2	1036	480	93	94
1410	1410.99	22.01	9.15	109	7	1348	601	93	94
1411	1411.99	18.12	9.9	108	5	1350	601	92	94
1412	1412.99	14.76	9.4	108	5	1371	601	92	94
1413	1413.99	6.09	2.79	54	2	688	300	92	94
1414	1414.99	21.63	9.5	108	5	1381	601	92	94
1415	1415.99	21.02	11.49	108	6	1390	601	92	94
1416	1416.99	29.17	12.35	108	7	1390	601	92	94
1417	1417.99	21.14	9.66	108	6	1388	601	92	94
1418	1418.99	24.09	12	108	6	1388	601	92	94
1419	1419.99	22.13	11.87	108	7	1389	601	92	94
1420	1420.99	23.76	11.02	108	7	1388	601	92	94
1421	1421.99	24.04	9.69	108	6	1396	601	92	94
1422	1422.99	24.79	10.45	108	6	1393	601	92	94
1423	1423.99	24.98	9.58	108	6	1392	601	92	94
1424	1424.99	24.33	10.35	108	6	1394	601	92	94
1425	1425.99	25.32	12.07	108	6	1402	601	92	94
1426	1426.99	15.75	7.51	86	5	1116	481	92	93
1427	1427.99	20.72	13.38	108	6	1389	601	92	93
1428	1428.99	24.88	8.86	108	6	1395	601	92	93
1429	1429.99	23.6	10.13	108	6	1393	601	92	93
1430	1430.99	24.59	10.45	108	6	1394	601	92	93
1431	1431.99	23.53	11.86	108	7	1394	601	92	93
1432	1432.99	21.53	6.69	108	7	1398	601	92	93
1433	1433.99	22.25	8.13	108	6	1517	645	92	93
1434	1434.99	20.14	7.76	108	6	1513	646	92	93
1435	1435.99	13.74	5.62	75	3	1055	452	92	93
1436	1436.99	169.07	10.88	102	5	606	258	92	93
1437	1437.99	192.07	18.3	110	3	1340	610	92	93
1438	1438.99	16.96	11.01	110	5	1288	595	92	93
1439	1439.99	19.37	12.44	110	5	1300	595	92	93
1440	1440.99	21.59	10.37	110	6	1312	595	92	93
1441	1441.99	22.27	10.37	110	6	1315	595	92	93
1442	1442.99	22.26	12.34	110	6	1316	595	92	93
1443	1443.99	22.86	10.86	110	5	1331	595	92	93
1444	1444.99	23.02	9.03	110	5	1326	595	92	93
1445	1445.99	22.42	10.83	110	5	1332	595	92	93
1446	1446.99	21.84	13.75	110	8	1331	595	92	93
1447	1447.99	21.93	11.24	110	7	1334	595	92	93
1448	1448.99	22.06	11.04	110	7	1337	595	92	93
1449	1449.99	20.7	10.64	110	7	1340	595	92	93
1450	1450.99	20.68	9.98	110	7	1339	595	92	93
1451	1451.99	20.71	11.17	110	7	1347	595	92	93
1452	1452.99	19.7	12.04	110	7	1346	595	92	93
1453	1453.99	19.32	9.19	110	7	1344	595	92	93
1454	1454.99	19.37	8.58	110	6	1344	595	92	93
1455	1455.99	17.95	8.12	110	6	1345	595	92	93
1456	1456.99	19.01	9.63	110	6	1345	595	92	93
1457	1457.99	4.02	9.36	33	8	1369	178	92	93
1458	1458.99	0.86	9.36	11	5	1300	179	92	93
1459	1459.99	0.82	7.36	11	7	1325	170	92	93
1460	1460.99	0.77	9.36	11	6	1369	175	92	93
1461	1461.99	1.54	5.36	22	9	1358	156	92	93
1462	1462.99	17.04	6.28	110	6	1217	568	92	93
1463	1463.99	20.72	7.94	110	5	1121	551	92	93
1464	1464.99	17.46	7.01	110	5	1101	551	92	93
1465	1465.99	20.05	10.65	110	6	1045	551	92	93
1466	1466.99	4.49	1.66	102	8	1036	165	92	93
1467	1467.99	14.08	6.93	103	4	1025	457	92	93
1468	1468.99	20.38	12.17	109	7	1176	578	92	93
1469	1469.99	17.34	13.14	103	5	1193	579	92	93
1470	1470.99	16.01	10.09	107	6	1219	578	92	93
1471	1471.99	23.32	12.32	108	6	1242	579	92	93
1472	1472.99	23.17	11.07	108	7	1253	578	92	93
1473	1473.99	22.94	10.82	108	8	1253	578	92	93
1474	1474.99	21.37	11.52	108	9	1280	579	92	93
1475	1475.99	25.02	11.27	105	9	1350	581	92	93
1476	1476.99	22.72	13.09	100	9	1357	581	92	93
1477	1477.99	24.34	15.86	99	9	1361	581	92	93
1478	1478.99	23.71	15.7	100	8	1362	581	92	93
1479	1479.99	21.39	16.6	100	8	1366	581	92	93
1480	1480.99	23.9	15.52	101	7	1377	581	92	93
1481	1481.99	20.64	13.06	103	6	1387	581	92	93
1482	1482.99	21.75	17.25	103	7	1378	581	92	93
1483	1483.99	14.23	17.36	60	4	980	406	92	93
1484	1481.68	17.92	6.2	108	4	1430	581	96	98
1485	1481.68	17.92	6.2	108	4	1430	581	96	98
1486	1483.24	13.79	9.77	108	5	1230	581	96	98
1487	1485.54	14.27	7.75	108	6	1020	581	96	98
